id,date,productId,productName,quantity,sellingPrice,purchasePrice,note,createdAt,updatedAt
69562ce817059,27-12-2025,67505725579ef,"Catseye 500gr",1,45000,32000,,1767255272,1767255828
69562ce817062,27-12-2025,6750572557a5f,"Classic chó nhỏ 400gr",2,18000,20200,,1767255272,1767255828
69562ce817065,27-12-2025,6750572557b7f,"Đồ chơi con cá",1,20000,15000,,1767255272,1767255828
69562ce817068,27-12-2025,6750572557910,"Bát đơn inox size 1",1,45000,21505,,1767255272,1767255828
69562ce81706b,27-12-2025,6750572557918,"Bát đơn inox size 2",1,55000,26565,,1767255272,1767255828
69562ce81706e,27-12-2025,6750572558049,"Vòng cổ zichen 1.0",1,20000,6000,,1767255272,1767255828
69562ce817070,27-12-2025,675057255803a,"Vòng cổ Policedog 2.0",1,40000,16000,,1767255272,1767255828
69562ce817073,27-12-2025,6750572557fd2,"Vaccine 7 bệnh",1,170000,92000,,1767255272,1767255828
69562ce817076,27-12-2025,6750572557dad,"Pate mèo gói Whiskas",56,13000,10000,,1767255272,1767255828
69562ce817079,27-12-2025,6750572557dad,"Pate mèo gói Whiskas",2,0,10000,,1767255272,1767255828
69562ce81707b,27-12-2025,67505725580c0,"Xịt nấm Fungikur",1,105000,75000,,1767255272,1767255828
69562ce81707e,27-12-2025,6750572557a57,"Classic chó lớn 400gr",1,23000,15700,,1767255272,1767255828
69562ce817081,27-12-2025,67505725580f0,"Zenith hạt mềm chó 500gr",2,85000,73333,,1767255272,1767255828
69562ce817083,27-12-2025,6750572557d75,"Pate chó mèo lon King's pet",2,42000,35000,,1767255272,1767255828
69562ce817086,27-12-2025,6750572557e87,"Smartheart pp 400gr",2,32000,25900,,1767255272,1767255828
69562ce817089,27-12-2025,6750572558049,"Vòng cổ zichen 1.0",1,20000,6000,,1767255272,1767255828
69562ce81708c,27-12-2025,67505725576ae,"Áo nỉ size M",1,55000,21700,,1767255272,1767255828
69562ce81708f,27-12-2025,6750572557dad,"Pate mèo gói Whiskas",1,13000,10000,,1767255272,1767255828
69562ce817091,27-12-2025,67505725580d0,"Xúc xích Taotao pet",7,3000,1440,,1767255272,1767255828
69562ce817094,27-12-2025,6750572557e65,Shizuka,2,2000,1000,,1767255272,1767255828
69562ce817097,27-12-2025,67505725579b6,"Cát Nhật ",4,55000,41000,,1767255272,1767255828
69562ce81709a,27-12-2025,675057255799f,"Cát đậu nành Catsrang",1,77000,70000,,1767255272,1767255828
69562ce81709c,27-12-2025,6750572557edd,"ST Pet Gel ",1,175000,145000,,1767255272,1767255828
69562ce81709f,27-12-2025,6750572557fd2,"Vaccine 7 bệnh",1,170000,92000,,1767255272,1767255828
69562ce8170a2,27-12-2025,6750572557990,"Bóng đồ chơi size nhỏ",1,20000,7900,,1767255272,1767255828
69562ce8170a4,27-12-2025,6750572557e96,"Smartheart Small 400gr",1,32000,25900,,1767255272,1767255828
69562ce8170a7,27-12-2025,6750572557a5f,"Classic chó nhỏ 400gr",1,18000,20200,,1767255272,1767255828
69562ce8170aa,27-12-2025,6750572557b8e,"DogSmile chó lớn 500gr",1,40000,28000,,1767255272,1767255828
69562ce8170ad,27-12-2025,67505725580e9,"Zenith hạt mềm chó 300gr",1,55000,47500,,1767255272,1767255828
69562ce8170af,27-12-2025,686655f7c1699,"Langlike 1kg",2,80000,65000,,1767255272,1767255828
69562f144a5bd,27-12-2025,6750572557fda,"Vaccine dại",1,30000,18000,,1767255828,1767255828
695630bf5a3cc,28-12-2025,67505725579b6,"Cát Nhật ",1,55000,41000,,1767256255,1767257393
695630bf5a3d4,28-12-2025,6750572557f0c,"Súp thưởng Wanpy nắp vặn",1,20000,13500,,1767256255,1767257393
