id,name,unit,sellingPrice,purchasePrice,initStock,repackageStock,invoiceCheck,categoryId,createdAt,updatedAt
675057255766f,Áo nỉ size 2XL,cái,70000,21700,3,0,0,,,
675057255767c,Áo lông size L,cái,60000,19000,0,0,0,,,
6750572557685,Áo lông size M,cái,55000,19000,1,0,0,,,
675057255768d,Áo lông size S,cái,50000,19000,0,0,0,,,
6750572557695,Áo lông size XL,cái,65000,19000,1,0,0,,,
675057255769d,Áo lông size XS,cái,45000,19000,0,0,0,,,
67505725576a5,Áo nỉ size L,cái,60000,21700,0,0,0,,,
67505725576ae,Áo nỉ size M,cái,55000,21700,0,0,0,,,
67505725576b6,Áo nỉ size S,cái,50000,21700,0,0,0,,,
67505725576be,Áo nỉ size XL,cái,65000,21700,0,0,0,,,
67505725576c6,Áo nỉ size XS,cái,45000,21700,0,0,0,,,
67505725576ce,Áo tết size 2XL,cái,65000,45000,2,0,0,,,
67505725576d6,Áo tết size 3XL,cái,70000,50000,0,0,0,,,
67505725576de,Áo tết size L,cái,55000,35000,0,0,0,,,
67505725576e6,Áo tết size M,cái,50000,35000,3,0,0,,,
67505725576ef,Áo tết size S,cái,45000,35000,0,0,0,,,
67505725576f7,Áo tết size XL,cái,60000,35000,0,0,0,,,
67505725576ff,Áo tết size XS,cái,40000,25000,0,0,0,,,
6750572557707,Áo thun cổ chun size 3XL-5XL,cái,65000,35000,4,0,0,,,
675057255770f,Áo thun cổ chun size L,cái,50000,15000,9,0,0,,,
6750572557716,Áo thun cổ chun size M,cái,45000,15000,19,0,0,,,
675057255771e,Áo thun cổ chun size S,cái,40000,11000,5,0,0,,,
6750572557727,Áo thun cổ chun size XL,cái,55000,15000,14,0,0,,,
675057255772f,Áo thun cổ chun size XXL,cái,60000,22000,21,0,0,,,
6750572557737,Áo thun giả gile size L,cái,50000,19000,6,0,0,,,
675057255773f,Áo thun giả gile size M,cái,45000,19000,0,0,0,,,
6750572557747,Áo thun giả gile size S,cái,40000,19000,0,0,0,,,
675057255774f,Áo thun giả gile size XL,cái,55000,19000,2,0,0,,,
6750572557757,Áo thun giả gile size XS,cái,35000,19000,0,0,0,,,
675057255775f,Áo thun giả gile size XXL,cái,60000,19000,0,0,0,,,
6750572557768,Áo thun hoạt hình size L,cái,50000,19000,2,0,0,,,
6750572557770,Áo thun hoạt hình size M,cái,45000,19000,0,0,0,,,
6750572557778,Áo thun hoạt hình size S,cái,40000,19000,0,0,0,,,
6750572557780,Áo thun hoạt hình size XL,cái,55000,19000,9,0,0,,,
6750572557787,Áo thun hoạt hình size XS,cái,35000,19000,0,0,0,,,
675057255778f,Áo thun hoạt hình size XXL,cái,60000,19000,4,0,0,,,
6750572557797,Áo thun I <3 mm/dd size L,cái,45000,19000,0,0,0,,,
675057255779f,Áo thun I <3 mm/dd size M,cái,40000,19000,0,0,0,,,
67505725577a8,Áo thun I <3 mm/dd size S,cái,35000,19000,0,0,0,,,
67505725577b0,Áo thun I <3 mm/dd size XL,cái,50000,19000,3,0,0,,,
67505725577b7,Áo thun thể thao size 3XL,cái,70000,31000,0,0,0,,,
67505725577bf,Áo thun thể thao size 4XL,cái,75000,31000,0,0,0,,,
67505725577c7,Áo thun thể thao size 5XL,cái,80000,31000,0,0,0,,,
67505725577d0,Áo thun thể thao size 6XL,cái,85000,31000,0,0,0,,,
67505725577d7,Áo thun I <3 mm/dd size XXL,cái,55000,19000,1,0,0,,,
67505725577e0,Áo thun lưới size L,cái,45000,17500,0,0,0,,,
67505725577e8,Áo thun lưới size M,cái,40000,17500,0,0,0,,,
67505725577f0,Áo thun lưới size S,cái,35000,17500,0,0,0,,,
67505725577f8,Áo thun lưới size XL,cái,50000,17500,1,0,0,,,
67505725577ff,Áo thun lưới size XS,cái,30000,17500,0,0,0,,,
6750572557807,Áo thun mùa hè size 2XL,cái,55000,18000,1,0,0,,,
675057255780f,Áo thun mùa hè size L,cái,45000,18000,0,0,0,,,
6750572557817,Áo thun mùa hè size M,cái,40000,18000,0,0,0,,,
6750572557820,Áo thun mùa hè size S,cái,35000,18000,0,0,0,,,
6750572557828,Áo thun mùa hè size XL,cái,50000,18000,1,0,0,,,
6750572557830,Áo thun mùa hè size XS,cái,30000,18000,0,0,0,,,
6750572557838,Áo thun siêu anh hùng size L,cái,50000,20000,0,0,0,,,
675057255783f,Áo thun siêu anh hùng size M,cái,45000,20000,0,0,0,,,
6750572557847,Áo thun siêu anh hùng size S,cái,40000,20000,0,0,0,,,
675057255784f,Áo thun siêu anh hùng size XL,cái,55000,20000,0,0,0,,,
6750572557858,Áo thun siêu anh hùng size XXL,cái,60000,20000,0,0,0,,,
6750572557860,Áo thun thể thao size 2XL +,cái,65000,31000,5,0,0,,,
6750572557868,Áo thun thể thao size L,cái,55000,22000,0,0,0,,,
6750572557870,Áo thun thể thao size M,cái,50000,22000,0,0,0,,,
6750572557878,Áo thun thể thao size S,cái,45000,22000,0,0,0,,,
6750572557880,Áo thun thể thao size XL,cái,60000,22000,1,0,0,,,
